agent,weather,map,route,mtime,frames
interfuser,14,map_02,routes_town02_long,1760730990.0,4252
interfuser,14,map_04,routes_town04_tiny,1760842283.0,3561
interfuser,14,map_03,routes_town03_long,1760729573.0,4779
interfuser,2,map_02,routes_town02_tiny,1760827120.0,681
interfuser,14,map_05,routes_town05_long,1760749876.0,4733
interfuser,14,map_04,routes_town04_long,1760730523.0,5360
interfuser,2,map_03,routes_town03_tiny,1760826167.0,581
interfuser,14,map_01,routes_town01_long,1760730573.0,8015
interfuser,2,map_04,routes_town04_tiny,1760828468.0,3561
interfuser,2,map_01,routes_town01_short,1760905670.0,8621
interfuser,2,map_04,routes_town04_short,1760903823.0,4708
interfuser,2,map_04,routes_town04_long,1760690878.0,5360
interfuser,2,map_02,routes_town02_long,1760700484.0,8012
interfuser,2,map_06,routes_town06_short,1760901743.0,0
interfuser,2,map_06,routes_town06_long,1760688329.0,0
interfuser,2,map_06,routes_town06_tiny,1760826113.0,0
interfuser,2,map_05,routes_town05_tiny,1760826479.0,781
interfuser,2,map_07,routes_town07_tiny,1760826127.0,0
interfuser,2,map_07,routes_town07_short,1760901754.0,0
interfuser,2,map_10,routes_town10_short,1760901756.0,0
interfuser,2,map_10,routes_town10_tiny,1760826133.0,0
interfuser,3,map_01,routes_town01_tiny,1760826899.0,721
interfuser,2,map_01,routes_town01_long,1760693550.0,11912
interfuser,2,map_03,routes_town03_short,1760906198.0,10833
interfuser,3,map_02,routes_town02_long,1760703959.0,3809
interfuser,3,map_02,routes_town02_tiny,1760829131.0,3879
interfuser,3,map_02,routes_town02_short,1760918240.0,4368
interfuser,2,map_05,routes_town05_long,1760699348.0,7923
interfuser,3,map_03,routes_town03_tiny,1760827084.0,721
interfuser,3,map_01,routes_town01_short,1760913394.0,6756
interfuser,2,map_03,routes_town03_long,1760698692.0,16161
interfuser,3,map_01,routes_town01_long,1760691882.0,8015
interfuser,3,map_03,routes_town03_long,1760699974.0,4779
interfuser,3,map_05,routes_town05_tiny,1760826728.0,781
interfuser,3,map_06,routes_town06_long,1760698557.0,0
interfuser,3,map_06,routes_town06_short,1760901948.0,0
interfuser,3,map_07,routes_town07_short,1760901961.0,0
interfuser,3,map_07,routes_town07_tiny,1760827257.0,0
interfuser,3,map_10,routes_town10_short,1760901975.0,0
interfuser,3,map_10,routes_town10_tiny,1760827276.0,0
interfuser,4,map_01,routes_town01_tiny,1760828041.0,721
interfuser,3,map_05,routes_town05_short,1760919956.0,4269
interfuser,3,map_04,routes_town04_long,1760700670.0,5360
interfuser,3,map_04,routes_town04_short,1760907001.0,5354
interfuser,4,map_02,routes_town02_short,1760917238.0,4546
interfuser,4,map_03,routes_town03_long,1760700574.0,4779
interfuser,4,map_03,routes_town03_tiny,1760828088.0,779
interfuser,4,map_02,routes_town02_tiny,1760834007.0,5996
interfuser,4,map_01,routes_town01_short,1760906554.0,8621
interfuser,3,map_05,routes_town05_long,1760713636.0,12381
interfuser,4,map_02,routes_town02_long,1760704499.0,8128
interfuser,4,map_05,routes_town05_tiny,1760827751.0,781
interfuser,4,map_06,routes_town06_long,1760699369.0,0
interfuser,4,map_06,routes_town06_tiny,1760827370.0,0
interfuser,4,map_07,routes_town07_tiny,1760827386.0,0
interfuser,4,map_10,routes_town10_tiny,1760827401.0,0
interfuser,4,map_04,routes_town04_tiny,1760829782.0,3561
interfuser,5,map_01,routes_town01_tiny,1760828131.0,721
interfuser,4,map_01,routes_town01_long,1760703890.0,12261
interfuser,4,map_05,routes_town05_long,1760705199.0,3987
interfuser,4,map_04,routes_town04_long,1760701290.0,5360
interfuser,5,map_03,routes_town03_tiny,1760828190.0,821
interfuser,3,map_03,routes_town03_short,1760910289.0,19521
interfuser,5,map_06,routes_town06_long,1760700603.0,0
